77,Esc. Est. Jorge Fernandes,Escola Estadual,-5.82845655947452,-35.20846861259
78,N?cleo Educacional Infantil ? NEI,Escola Federal,-5.83727102018522,-35.2060464915347
79,Escola de Enfermagem de Natal,Escola Federal,-5.833889019578,-35.2023214600762
80,Dep. de Desenvolvimento de Recursos Humanos,Escola Federal,-5.8397798371302,-35.2016058199617
81,Prof?. Maria Celoni Campos,CMEI,-5.82180622421432,-35.222949186421
82,Esc. Mun. Ulisses de G?is,Escola Municipal,-5.82566048721203,-35.1994833548685
83,Esc. Est. Prof. Luiz C?mara Cascudo,Escola Estadual,-5.83382849332873,-35.2294343773516
84,Esc. Est. Prof. Luiz Ant?nio,Escola Estadual,-5.83665232372981,-35.2203231484389
85,Esc. Est. Gov. Walfredo Gurgel,Escola Estadual,-5.83906270361171,-35.2177912235593
86,Esc. Est. Des. Floriano Cavalcanti,Escola Estadual,-5.84143085034935,-35.2066067559979
87,Vilma Teixeira Dutra,CMEI,-5.84108787507749,-35.2061246743109
88,Esc. Est. Vale do Pitimbu,Escola Estadual,-5.84662750149653,-35.2404297913766
89,Esc. Est. Prof. Ant?nio Pinto de Medeiros,Escola Estadual,-5.85621908277323,-35.2407464464912
90,Esc. Est. Djalma A. Marinho,Escola Estadual,-5.86900691809896,-35.2342810861384
91,Prof?. Maria Luiza Santos de Souza,CMEI,-5.86832839808025,-35.2344737833972
92,Esc. Mun. Prof. Ascendino de Almeida,Escola Municipal,-5.84995759115577,-35.2395088848767
93,Esc. Mun. Prof. Otto de Brito Guerra,Escola Municipal,-5.85441999898968,-35.2459364482574
94,Esc. Est. Berilo Wanderley,Escola Estadual,-5.86921989044687,-35.2065884733402
95,Esc. Est. Lourdes Guilherme,Escola Estadual,-5.86668723046775,-35.2071872004338
96,Esc. Est. Stela Wanderley,Escola Estadual,-5.86854482551658,-35.1980287213753
97,Esc. Est. Ferreira Itajub?,Escola Estadual,-5.85541565006823,-35.2100297285668
98,Esc. Est. Dr. Maia Neto,Escola Estadual,-5.85781425274913,-35.207177690749
99,Esc. Mun. Prof. Arnaldo Monteiro Bezerra,Escola Municipal,-5.86917419451859,-35.1972053039312
100,Esc. Mun. Prof. Ant?nio Severiano,Escola Municipal,-5.87050048158406,-35.2148043755583
101,Esc. Mun. Carlos Belo Moreno,Escola Municipal,-5.8637258635182,-35.2068886843033
102,Moema Tin?co,CMEI,-5.85907150584907,-35.2060063210481
103,Esc. Est. Prof. Jos? Fernandes Machado,Escola Estadual,-5.87317709447914,-35.1893887253737
104,Esc. Mun. Prof?. Josefa Botelho,Escola Municipal,-5.89098558955818,-35.1696859466329
105,Prof?. Carmem Maria Reis,CMEI,-5.88769815684056,-35.1703815309983
106,Haydee M. Bezerra de Melo,CMEI,-5.88584991441839,-35.1653552658698
107,Esc. Est. Prof?. Olda Marinho,Escola Estadual,-5.77963331983207,-35.1945321044384
108,Esc. Mun. Prof?. Laura Maia,Escola Municipal,-5.78190910140406,-35.1937442954954
109,Amor de M?e,CMEI,-5.77586744367291,-35.1965943903436
110,Esc. Est. Caf? Filho,Escola Estadual,-5.77214011289252,-35.1972954588686
111,Esc. Mun. Henrique Castriciano,Escola Municipal,-5.77271008101723,-35.1971146175257
112,Esc. Est. Prof?. Josefa Sampaio,Escola Estadual,-5.76733298037015,-35.2007209109071
113,Esc. Mun. Santos Reis,Escola Municipal,-5.76907794585787,-35.2002324835169
114,Esc. Est. Padre Monte,Escola Estadual,-5.7777267630618,-35.1991031016374
